Created_Date Asia/Kolkata,AQI,PM2.5,PM10
2019-06-13 10:55:57,38,23.0,28.0
2019-06-13 10:56:36,43,26.0,31.0
2019-06-13 10:56:56,43,26.0,31.0
2019-06-13 10:57:16,48,29.0,48.0
2019-06-13 10:57:36,52,32.0,49.0
2019-06-13 10:57:56,43,26.0,31.0
2019-06-13 10:58:16,52,32.0,48.0
2019-06-13 10:58:36,57,35.0,57.0
2019-06-13 10:58:56,327,84.0,372.0
2019-06-13 10:59:17,326,87.0,371.0
2019-06-13 10:59:37,88,53.0,86.0
2019-06-13 10:59:57,93,56.0,77.0
2019-06-13 11:00:17,93,56.0,75.0
2019-06-13 11:00:37,93,56.0,78.0
2019-06-13 11:00:57,88,53.0,81.0
2019-06-13 11:01:17,96,56.0,96.0
2019-06-13 11:01:37,88,53.0,83.0
2019-06-13 11:01:57,93,56.0,85.0
2019-06-13 11:02:17,93,56.0,89.0
2019-06-13 11:02:37,93,56.0,83.0
2019-06-13 11:02:57,88,53.0,80.0
2019-06-13 11:03:17,88,53.0,75.0
2019-06-13 11:03:37,88,53.0,80.0
2019-06-13 11:04:17,83,50.0,73.0
2019-06-13 11:04:37,83,50.0,77.0
2019-06-13 11:04:57,88,53.0,81.0
2019-06-13 11:05:17,88,53.0,77.0
2019-06-13 11:05:58,89,53.0,89.0
2019-06-13 11:06:18,88,53.0,77.0
2019-06-13 11:06:38,88,53.0,80.0
2019-06-13 11:06:58,93,56.0,81.0
2019-06-13 11:07:18,101,56.0,101.0
2019-06-13 11:07:38,96,56.0,96.0
2019-06-13 11:07:58,88,53.0,78.0
2019-06-13 11:08:18,88,53.0,72.0
2019-06-13 11:08:38,88,53.0,77.0
2019-06-13 11:08:58,88,53.0,77.0
2019-06-13 11:09:19,93,56.0,88.0
2019-06-13 11:09:39,93,56.0,81.0
2019-06-13 11:09:59,93,56.0,81.0
2019-06-13 11:10:19,88,53.0,81.0
2019-06-13 11:10:39,88,53.0,77.0
2019-06-13 11:10:59,93,56.0,91.0
2019-06-13 11:11:19,93,56.0,89.0
2019-06-13 11:11:39,94,57.0,88.0
2019-06-13 11:11:59,93,56.0,88.0
2019-06-13 11:12:19,94,57.0,94.0
2019-06-13 11:12:39,94,57.0,93.0
2019-06-13 11:12:59,94,57.0,93.0
2019-06-13 11:13:19,93,56.0,83.0
2019-06-13 11:13:39,94,56.0,94.0
2019-06-13 11:13:59,93,56.0,89.0
2019-06-13 11:14:19,93,56.0,80.0
2019-06-13 11:14:39,93,56.0,77.0
2019-06-13 11:14:59,93,56.0,81.0
2019-06-13 11:15:19,94,56.0,94.0
2019-06-13 11:15:39,88,53.0,75.0
2019-06-13 11:16:00,88,53.0,83.0
2019-06-13 11:16:20,88,53.0,86.0
2019-06-13 11:16:40,88,53.0,70.0
2019-06-13 11:17:00,83,50.0,77.0
2019-06-13 11:17:20,83,50.0,78.0
2019-06-13 11:17:40,93,56.0,81.0
2019-06-13 11:18:00,93,56.0,81.0
2019-06-13 11:18:20,93,56.0,77.0
2019-06-13 11:18:40,93,56.0,81.0
2019-06-13 11:19:00,93,56.0,89.0
2019-06-13 11:19:20,93,56.0,88.0
2019-06-13 11:19:40,93,56.0,85.0
2019-06-13 11:20:00,93,56.0,85.0
2019-06-13 11:20:20,93,56.0,73.0
2019-06-13 11:20:40,88,53.0,77.0
2019-06-13 11:21:00,93,56.0,83.0
2019-06-13 11:21:20,93,56.0,89.0
2019-06-13 11:21:40,93,56.0,89.0
2019-06-13 11:22:00,94,57.0,78.0
2019-06-13 11:22:20,93,56.0,85.0
2019-06-13 11:22:41,88,53.0,81.0
2019-06-13 11:23:01,93,56.0,89.0
2019-06-13 11:23:21,83,50.0,81.0
2019-06-13 11:23:41,88,53.0,85.0
2019-06-13 11:24:01,93,56.0,75.0
2019-06-13 11:24:21,93,56.0,83.0
2019-06-13 11:24:41,93,56.0,85.0
2019-06-13 11:25:01,93,56.0,86.0
2019-06-13 11:25:21,93,56.0,83.0
2019-06-13 11:25:41,88,53.0,75.0
2019-06-13 11:26:02,88,53.0,85.0
2019-06-13 11:26:22,93,56.0,81.0
2019-06-13 11:26:42,93,56.0,86.0
2019-06-13 11:27:02,93,56.0,89.0
2019-06-13 11:27:22,93,56.0,80.0
2019-06-13 11:27:42,94,57.0,80.0
2019-06-13 11:28:02,93,56.0,83.0
2019-06-13 11:28:22,94,57.0,85.0
2019-06-13 11:28:42,93,56.0,83.0
2019-06-13 11:29:02,93,56.0,77.0
2019-06-13 11:29:22,94,57.0,89.0
2019-06-13 11:29:42,93,56.0,93.0
2019-06-13 11:30:02,93,56.0,89.0
2019-06-13 11:30:22,94,57.0,86.0
2019-06-13 11:30:42,93,56.0,77.0
2019-06-13 11:31:02,93,56.0,85.0
2019-06-13 11:31:22,94,57.0,81.0
2019-06-13 11:31:42,94,57.0,81.0
2019-06-13 11:32:02,94,57.0,81.0
2019-06-13 11:32:22,94,57.0,81.0
2019-06-13 11:32:43,94,57.0,81.0
